bond_length,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9
1.0,-7.262324856339864,-7.211351557295629,-7.189875597221896,-7.165770273613381,-7.164887034082106,-7.163695732697972,-7.1262571831061265,-7.125420631671004,-7.111567015664889,-7.090318513950519
1.16,-7.4668939321145675,-7.398126608950307,-7.380157006815766,-7.367646981808708,-7.353346030713823,-7.352289810965296,-7.322336401717527,-7.322173776517355,-7.298480182607376,-7.280547672025875
1.32,-7.61692534592422,-7.532728287784477,-7.519303266507033,-7.514323094741958,-7.489016640776646,-7.487874865200733,-7.463288597359257,-7.4631153091578915,-7.433378582449293,-7.420639678669564
1.48,-7.7271329761817045,-7.631217423332459,-7.628331130074684,-7.614713746722315,-7.588385169377536,-7.587207093509931,-7.5659723082856205,-7.565643435402518,-7.5321949643247335,-7.529330863234292
1.6400000000000001,-7.807936524504,-7.708940266582473,-7.703788203866288,-7.687930697964032,-7.66154910359199,-7.66036071975262,-7.641272663260845,-7.640875491769896,-7.609765321129207,-7.604983514174298
1.8,-7.866987938100048,-7.767931751656854,-7.7575815809669,-7.7420234079572525,-7.715650613464759,-7.714464816246449,-7.696849880940383,-7.696432123991099,-7.668662925280631,-7.658814876437119
1.96,-7.909960540229623,-7.810901661098315,-7.797733256232702,-7.7822450291112535,-7.755850441247739,-7.754672868400508,-7.738150690646069,-7.737742284390169,-7.711572040427258,-7.698852726737545
2.12,-7.941039670709365,-7.842014532105102,-7.827944691437947,-7.812356913270191,-7.785877187705676,-7.784709456131418,-7.769066011423842,-7.768688224687271,-7.7426392011107446,-7.728870515965635
2.2800000000000002,-7.963295714108353,-7.864334149154125,-7.850882805432125,-7.835068204803919,-7.808421036083308,-7.807262487487931,-7.7923800343802085,-7.792049567866139,-7.76491951978106,-7.751596601996061
2.44,-7.97897734335196,-7.880109398143987,-7.8684721304687235,-7.8523307678189065,-7.825425983347883,-7.824274585285148,-7.810091044732197,-7.809822146039871,-7.780657743427709,-7.7689888424478
2.6,-7.989735431723613,-7.890997025373824,-7.882105468702354,-7.865549172276923,-7.838302650148172,-7.837155458552669,-7.823639710738769,-7.823445550294588,-7.7915099385336735,-7.782451329305188
2.76,-7.99678974999712,-7.898230034944632,-7.892795457087356,-7.875731837527159,-7.848081812508534,-7.846935254536376,-7.834071591331741,-7.83396536366423,-7.798712248755633,-7.792996746436344
2.92,-8.00105037019553,-7.902744619719557,-7.90128360392129,-7.883597298086708,-7.855524327608095,-7.854374438842176,-7.842152552667259,-7.842148478102351,-7.803209285654222,-7.801362913585641
3.08,-8.00320416788495,-7.908117955781895,-7.905280852341509,-7.889640469484414,-7.861198706260666,-7.8600413608295305,-7.848564087863185,-7.848449746548894,-7.8080942486344025,-7.805757129885709
3.24,-8.003775526631491,-7.913707629494292,-7.9064797763132955,-7.89415300527307,-7.865535040591153,-7.8643661661668105,-7.85363981268463,-7.853387589406115,-7.813597938556091,-7.807019002245424
3.4,-8.003168864674304,-7.918360738552879,-7.907007257563958,-7.897181511071306,-7.868862247124296,-7.867678009260059,-7.857700362884907,-7.857286114461356,-7.818182621322553,-7.807657489931891
3.56,-8.001698799039428,-7.922310777769216,-7.907619471856446,-7.898519828910141,-7.871433923239868,-7.87023087434868,-7.860994326947299,-7.8603872039293705,-7.8220853830373045,-7.808314608328443
3.72,-7.999612003854335,-7.925735172505771,-7.908746293351276,-7.898167171813975,-7.873446574801767,-7.872221773921025,-7.863713014975042,-7.862872510265278,-7.825491232855766,-7.809310477711154
3.88,-7.997103417875679,-7.928768572833287,-7.910173712352607,-7.896676557212452,-7.875052741028299,-7.873803854588913,-7.8660039936047985,-7.864875498557976,-7.828548041523921,-7.810531351464456
4.04,-7.99432848700412,-7.931512633989335,-7.9116127216015695,-7.894609955982315,-7.876370671215401,-7.875096062460802,-7.867981037130301,-7.866489022717772,-7.831379191309576,-7.811777638653236
4.2,-7.991412507190822,-7.934043429921183,-7.912941349045787,-7.892316176088753,-7.877491629816874,-7.876190440717838,-7.869731613609043,-7.8677691842767645,-7.834095643440372,-7.816419833763189
4.359999999999999,-7.988457756613599,-7.936417237822104,-7.914125884524099,-7.8900270069227325,-7.878485535723772,-7.877157759988043,-7.871322638158636,-7.868736169988546,-7.836807903904555,-7.821467995393991
4.52,-7.985548863883748,-7.9386751508795985,-7.915161663994855,-7.887930442815101,-7.879405400284293,-7.878051941465175,-7.872804969544983,-7.869374392025245,-7.839633713291159,-7.826254478303545
4.68,-7.982756713120275,-7.940846796151509,-7.916050601619625,-7.886197062664871,-7.880290871384513,-7.8789135805498125,-7.87421696649407,-7.869639684483242,-7.842685854920858,-7.830550798865091
4.84,-7.980141089959479,-7.942953323054483,-7.916793968450583,-7.884966894096309,-7.8811710891160685,-7.8797727751455495,-7.875587313704538,-7.869488437780489,-7.8460223877782616,-7.834234056165614
5.0,-7.977752222112736,-7.9450097728263085,-7.917390917125344,-7.884304561118359,-7.882066994796629,-7.880651404184377,-7.876937265995737,-7.868930892672184,-7.849596189074926,-7.837325895845542
