bond_length,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9
1.0,-7.26185691714446,-7.209336285834587,-7.18786016777795,-7.164325478350161,-7.164325478350154,-7.125686122908785,-7.125686122908771,-7.073085620227918,-7.042146897840793,-7.02548631908086
1.16,-7.466423471554769,-7.395540218795398,-7.377234456478444,-7.351445148137353,-7.351445148137344,-7.321475141050062,-7.321475141050033,-7.273199794978817,-7.239645168039328,-7.215695531655408
1.32,-7.616339962669577,-7.529558761910951,-7.5126240098017165,-7.486699407189355,-7.486699401477012,-7.461926321476503,-7.461926310162364,-7.4159353276131545,-7.3817011987611965,-7.351590127408634
1.48,-7.726370661980497,-7.627450387686507,-7.611341340519506,-7.585665023705858,-7.585664960189011,-7.564093235763409,-7.5640931467131365,-7.518908239476326,-7.484503983787348,-7.4500796646209055
1.6400000000000001,-7.806954629425328,-7.699403266599533,-7.683810575675657,-7.6584181236791755,-7.658418123678731,-7.638930918373602,-7.638930918372801,-7.593571237848567,-7.5590689638896835,-7.521919331920137
1.8,-7.865750591202166,-7.752553665284084,-7.737241456893128,-7.712086264102314,-7.712086264102299,-7.694058272192289,-7.694058272192277,-7.647886664554474,-7.61320598447609,-7.574542990305772
1.96,-7.908434300989631,-7.792034207089555,-7.776811738952482,-7.751821199397211,-7.751821199394971,-7.734902523314775,-7.734902523311799,-7.687510805025605,-7.652512512963975,-7.613239085084274
2.12,-7.939191573114057,-7.821544468268767,-7.806261143622654,-7.781346074360561,-7.781346074360558,-7.765344447005422,-7.76534444700542,-7.716475715322547,-7.6809951446928295,-7.641793035355752
2.2800000000000002,-7.961092927556578,-7.843750480868055,-7.8282916594188805,-7.803347887082582,-7.803347887082573,-7.788162603578433,-7.788162603578423,-7.737658107116959,-7.701517942429799,-7.6629206941738275
2.44,-7.9763869641984,-7.860576879242003,-7.844856153626304,-7.819768964898404,-7.819768964898402,-7.8053523232313955,-7.80535232323139,-7.753118848362813,-7.716133948548971,-7.678577494950354
2.6,-7.9867242499905196,-7.873417442296949,-7.857367033066492,-7.832019258503562,-7.832019258037311,-7.8183532371739375,-7.8183532363964705,-7.764349907662194,-7.726327338003385,-7.690178489467247
2.76,-7.993323976255471,-7.8832864836746115,-7.866848402247891,-7.841129529687985,-7.841129528360625,-7.828211375305822,-7.828211373276453,-7.772453532453623,-7.7331860506117955,-7.698754992211896
2.92,-7.997095315465853,-7.890927495267488,-7.874047161151252,-7.847861060958368,-7.847861059651966,-7.835694315988344,-7.835694314287648,-7.778271052971923,-7.737521285058505,-7.705065852663888
3.08,-7.9987238824887115,-7.896890682631712,-7.8795129683060185,-7.852783075445862,-7.852783074687643,-7.841372021967189,-7.841372021196834,-7.782475194149782,-7.739949699427177,-7.709675623150371
3.24,-7.998732380210795,-7.901587151050412,-7.883654652240031,-7.856326541607151,-7.856326541025366,-7.8456728409432035,-7.845672840449932,-7.785634739994835,-7.7409473312835875,-7.7130087375875895
3.4,-7.997523077893126,-7.9053267220451175,-7.886779441066441,-7.858821314650937,-7.858821314185375,-7.848922090560942,-7.8489220897501895,-7.788256197166708,-7.740886582403878,-7.715386900650756
3.56,-7.995407910879093,-7.908344173205647,-7.889120105237744,-7.860521916254799,-7.8605219160101765,-7.851368802208658,-7.85136880173142,-7.790796729972374,-7.7400611955873675,-7.717055102415774
3.72,-7.992630289538807,-7.910817739287866,-7.890853930107966,-7.861625716741058,-7.861625716741054,-7.853204552495381,-7.853204552495377,-7.793635920571594,-7.738704080937785,-7.720628288525917
3.88,-7.989381203163011,-7.912882247378543,-7.892115904962682,-7.862286025872451,-7.862286025872435,-7.854576983781262,-7.854576983781247,-7.797007823966212,-7.737001054700289,-7.7273041119283485
4.04,-7.985811423902874,-7.914638947474401,-7.893008408749365,-7.862621852281533,-7.862621852135618,-7.855599893138841,-7.855599893039372,-7.800942785070978,-7.735101846796132,-7.731487872422454
4.2,-7.9820407752183735,-7.916162889415518,-7.893608239778312,-7.862725105825143,-7.862725105825128,-7.85636057846951,-7.856360578469501,-7.8052900304721,-7.733649248804309,-7.733130571784032
4.359999999999999,-7.978165243181454,-7.917508759365006,-7.893972022760167,-7.862666315179679,-7.8626663151796645,-7.85692570881579,-7.856925708815783,-7.809817210861549,-7.734289081244652,-7.731196537760207
4.52,-7.974262393256897,-7.918715580576672,-7.894140440646645,-7.862499119392933,-7.862499119392927,-7.8573459067359135,-7.85734590673591,-7.814307832150476,-7.733855794543455,-7.729408798222398
4.68,-7.970395454062092,-7.919810555193297,-7.894141662765679,-7.862263776708146,-7.862263776684579,-7.857659267036239,-7.857659267007143,-7.818606521576801,-7.732709222798191,-7.727904703555152
4.84,-7.966616326928317,-7.920812202488174,-7.893994197278698,-7.861990035230874,-7.86199003521456,-7.857894224833266,-7.85789422481325,-7.822621478018875,-7.731123453231732,-7.726927227571914
5.0,-7.962967728505429,-7.921732874728139,-7.893709289483759,-7.8616994372936055,-7.8616994371700475,-7.858071817892824,-7.858071817726017,-7.826309762907696,-7.729303909605894,-7.727039692039632
